study,studyid,dot
1,Nuwa2025,Partially supervised
2,Traore2024,Fully supervised
3,Chandramohan2021,Fully supervised
4,Ndiaye2019,Partially supervised
5,Thera2018,Fully supervised
6,Tagbor2016,Partially supervised
7,Cisse2016,Partially supervised
8,Zongo2015,Fully supervised
9,Tine2011,Fully supervised
10,Dicko2011,Fully supervised
11,Konate2011,Fully supervised
12,Sesay2011,Partially supervised
13,Bojang2010,Fully supervised
15,Sokhna2008,Fully supervised
16,Dicko2008,Fully supervised
17,Kweku2008,Partially supervised
18,Cisse2006,Fully supervised
19,Bojang22010,Fully supervised
